Proz.-ID;Datum;Uhrzeit;Koch;VID;PID;Besonderheit;Gesamt;Süße;Säure;Bitter;Körper;Nach;C-Farbe;C-Fest;C-Höhe;C-Tiger
1;4/3/12;14:55;Gunnar;1;1;;-1;-1;2;2;1;1;2;-3;-2;0
2;4/3/12;;Gunnar;2;1;;2;1;-2;-1;-1;-1;0;-1;-1;0
3;4/3/12;15:05;Gunnar;3;1;;-3;-3;-3;-3;-3;-3;-2;-3;-2;0
4;4/3/12;;Gunnar;4;1;;-1;-1;-3;-3;-2;-2;-3;-3;-3;0
5;4/3/12;;Gunnar;17;1;;1;0;-1;-1;-2;-2;-1;-2;-2;0
6;4/3/12;;Gunnar;1;2;;-1;-1;0;1;0;1;-1;-2;-2;0
7;4/3/12;;Gunnar;2;2;;-2;-2;1;-3;0;2;-2;-2;-2;0
8;4/3/12;;Gunnar;3;2;;-1;0;1;1;-1;1;-1;-2;-2;0
9;4/3/12;;Gunnar;4;2;;0;0;0;1;0;0;-3;-2;-2;0
10;4/3/12;;Gunnar;17;2;;-1;0;-1;0;-1;0;-1;-2;-2;0
11;4/3/12;;Gunnar;1;3;;-3;-1;1;3;3;2;0;-1;-1;0
12;4/3/12;;Gunnar;2;3;;-1;-2;2;0;-1;1;-2;-2;-3;-2
13;4/3/12;;Gunnar;3;3;;1;1;-2;-2;-1;-1;0;-3;-3;-3
14;4/3/12;;Gunnar;4;3;;-1;-1;0;-1;-1;0;-2;-3;-3;-3
15;4/3/12;;Gunnar;17;3;;-2;-1;1;-1;2;2;-1;-1;-1;-1
16;4/3/12;;Gunnar;1;4;;-1;1;-1;-1;-1;0;-2;-1;-1;-1
17;4/3/12;;Gunnar;2;4;;0;1;-1;-1;0;0;0;-1;-1;1
18;4/3/12;;Gunnar;3;4;;2;1;-2;-3;-1;2;-2;-2;-2;-1
19;4/3/12;;Gunnar;4;4;;;1;-2;0;-1;0;0;-3;-3;-2
20;4/3/12;;Gunnar;17;4;;1;1;-1;-1;-1;1;-1;-1;-1;2
21;4/3/12;;Gunnar;1;5;;1;0;0;1;2;1;-1;-1;-1;0
22;4/3/12;;Gunnar;2;5;;-1;-1;0;2;2;2;-2;-2;-2;0
23;4/3/12;;Gunnar;3;5;;2;1;0;-1;1;0;-2;-1;-1;0
24;4/3/12;;Gunnar;4;5;;0;1;-1;1;1;1;-2;-2;-2;0
25;4/3/12;;Gunnar;17;5;;1;1;0;-1;0;-1;-2;-2;-2;0
26;4/3/12;;Gunnar;3;6;-1;-1;0;2;-1;-2;-1;-3;-2;-2;0
27;4/4/12;12:40;Gunnar;5;7;;1;1;0;-2;-1;0;-1;-2;-2;0
28;4/4/12;13:25;Gunnar;6;7;;-1;1;2;0;-1;-2;-1;-1;-2;0
29;4/4/12;13:00;Gunnar;7;7;;0;0;2;-1;0;0;0;-1;-1;0
30;4/4/12;12:50;Gunnar;8;7;;1;1;0;-1;1;0;-1;-1;-1;0
31;4/4/12;13:13;Gunnar;17;7;;1;1;-1;-2;-1;1;-1;-1;-2;0
32;4/4/12;;Gunnar;5;8;;-2;0;2;-2;-2;-2;-2;0;-1;0
33;4/4/12;;Gunnar;6;8;;-2;1;2;-2;-2;-2;2;-2;-2;0
34;4/4/12;;Gunnar;7;8;;-3;-2;1;1;-2;2;-1;0;-1;0
35;4/4/12;;Gunnar;8;8;;-1;1;2;1;0;0;-1;-1;-2;0
36;4/4/12;;Gunnar;17;8;;1;0;1;-1;0;-1;0;-1;-1;0
37;4/4/12;;Gunnar;5;9;;1;0;0;1;1;1;-1;-2;-2;-1
38;4/4/12;;Gunnar;6;9;;-2;0;1;-2;-3;-2;-1;-1;-2;-1
39;4/4/12;;Gunnar;7;9;;-1;-1;-1;-1;-1;-2;-1;-2;-2;0
40;4/4/12;;Gunnar;8;9;;0;0;0;0;0;0;0;-1;-1;-1
41;4/4/12;;Gunnar;17;9;;0;0;-2;-1;-1;0;-2;-1;-2;-1
42;4/4/12;;Gunnar;5;10;;-2;-2;2;2;-1;-1;-2;-2;-2;-1
43;4/4/12;;Gunnar;6;10;;-1;-1;1;2;3;2;-2;-3;-2;-2
44;4/4/12;;Gunnar;7;10;;0;1;1;0;0;-2;-1;-2;-1;-1
45;4/4/12;;Gunnar;8;10;;2;1;0;1;1;2;0;-2;-2;-2
46;4/4/12;;Gunnar;17;10;;1;1;-2;-1;0;-1;-3;-1;0;0
47;4/4/12;15:00;Gunnar;5;11;;1;;-1;-1;-1;;-1;-1;-1;
48;4/4/12;;Gunnar;6;11;;0;-1;1;-1;-1;;-1;-1;-1;
49;4/4/12;;Gunnar;7;11;;0;0;0;0;0;;0;0;0;
50;4/4/12;;Gunnar;8;11;;-1;0;1;1;1;;0;-2;-2;
51;4/4/12;;Gunnar;17;11;;1;;1;0;-1;;-1;-1;-1;
52;4/4/12;;Gunnar;5;12;;-1;0;-2;-2;-2;;-2;-2;-2;
53;4/4/12;;Gunnar;6;12;;-1;0;1;-1;-1;;-2;-2;-2;0
54;4/4/12;;Gunnar;7;12;;0;0;0;0;1;;-1;0;0;0
55;4/4/12;;Gunnar;8;12;;1;0;-1;0;0;;-1;-1;-1;0
56;4/4/12;;Gunnar;17;12;;-1;0;-1;-1;-1;;-1;-2;-1;-1
57;4/4/12;;Gunnar;5;13;;-2;0;-1;-2;1;-2;-1;2;-2;0
58;4/4/12;;Gunnar;6;13;;-1;0;1;2;3;3;-1;-2;-1;0
59;4/4/12;;Gunnar;7;13;;-1;1;2;1;-1;-1;-1;-1;0;0
60;4/4/12;;Gunnar;8;13;;-1;0;2;2;2;1;-1;-1;-1;0
61;4/4/12;;Gunnar;17;13;;1;0;-1;1;2;3;-2;1;-2;0
62;4/4/12;;Gunnar;5;14;;-1;0;-2;0;-1;1;-2;-1;-2;1
63;4/4/12;;Gunnar;6;14;;-3;0;-2;2;1;1;-1;-1;-1;1
64;4/4/12;;Gunnar;7;14;;-2;0;-1;2;1;1;-1;-1;-1;0
65;4/4/12;;Gunnar;8;14;;0;0;-1;0;0;0;-1;0;-1;0
66;4/4/12;;Gunnar;17;14;;-2;0;-2;3;0;1;-2;-2;-2;1
67;4/4/12;;Gunnar;1;15;;-2;-2;-2;-1;-1;-1;-1;-1;-1;
68;4/4/12;;Gunnar;2;15;;2;2;1;2;0;2;-1;-2;-2;
69;4/4/12;;Gunnar;3;15;;1;1;1;-1;-1;1;-3;-2;-2;
70;4/4/12;;Gunnar;4;15;;1;1;0;1;1;0;-2;-2;-3;
71;4/4/12;;Gunnar;17;15;;1;2;1;1;1;0;-1;-1;-1;
72;4/4/12;;Gunnar;1;16;;2;1;1;-2;-1;-2;-2;-2;-1;
73;4/4/12;;Gunnar;2;16;;1;1;2;-2;-2;-1;0;-1;-1;
74;4/4/12;;Gunnar;3;16;;2;2;-2;-2;-2;-3;-3;-2;-2;
75;4/4/12;;Gunnar;4;16;;1;0;1;-1;-1;-2;-2;-3;-2;
76;4/4/12;;Gunnar;17;16;;1;2;-2;1;-2;-2;-1;-1;-1;
;4/5/12;;Gunnar;13;17;;-1;0;1;1;1;1;-3;-2;-3;-3
;4/5/12;;Gunnar;15;17;;-2;0;-1;-3;-2;-3;-2;-2;-1;0
;4/5/12;;Gunnar;16;17;;-1;0;0;-1;-1;-1;-3;-1;0;-1
;4/5/12;;Gunnar;13;18;;1;1;-1;-1;-1;0;-1;-2;-2;-2
;4/5/12;;Gunnar;14;18;;0;0;0;0;0;0;1;-2;-2;-1
;4/5/12;;Gunnar;16;18;;2;2;-2;-3;-2;-3;-3;-3;-3;-1
;4/5/12;;Gunnar;18;18;;2;-1;-1;-1;-1;-1;-1;-2;-2;-2
;4/5/12;;Gunnar;9;19;;-1;-1;-1;-3;2;2;-1;-2;-1;-2
;4/5/12;;Gunnar;11;19;;-2;1;-1;-2;-1;-3;-2;-2;-1;-3
;4/5/12;;Gunnar;18;19;;1;0;-1;0;-1;-1;-1;-2;-2;-1
;4/5/12;;Gunnar;9;3;;-1;1;1;-2;0;1;-1;-2;-3;0
;4/5/12;;Gunnar;10;3;;2;1;-1;1;1;-1;-2;-1;-1;0
;4/5/12;;Gunnar;11;3;;1;1;-2;-2;-2;-2;-3;-3;-2;-1
;4/5/12;;Gunnar;12;3;;2;1;-2;-3;0;0;-2;-3;-3;0
;4/5/12;;Gunnar;18;3;;-1;-1;-2;-1;-2;0;-2;-2;-2;1
;4/5/12;;Gunnar;9;4;;-1;-1;1;1;-1;-1;0;-1;-1;0
;4/5/12;;Gunnar;10;4;;-1;-1;1;0;0;0;-1;-1;-2;0
;4/5/12;;Gunnar;11;4;;1;1;-1;-1;0;1;-2;-1;-1;-2
;4/5/12;;Gunnar;12;4;;2;2;-2;-2;1;1;-1;-2;-2;0
;4/5/12;;Gunnar;18;4;;0;0;0;0;0;0;0;-1;-1;0
;4/5/12;;Gunnar;9;5;;-1;;1;1;1;1;-2;-1;-1;0
;4/5/12;;Gunnar;10;5;;-1;0;-1;-2;-1;0;-1;-1;-1;0
;4/5/12;;Gunnar;11;5;;2;2;-2;-1;0;0;-3;-3;-2;0
;4/5/12;;Gunnar;12;5;;2;0;1;0;1;0;-3;-3;-2;0
;4/5/12;;Gunnar;18;5;;1;1;1;0;0;0;-2;-2;-2;0
;4/5/12;;Gunnar;13;7;;2;0;-2;0;2;0;-2;-1;-2;0
;4/5/12;;Gunnar;14;7;;1;1;-1;-1;-2;-1;-1;-2;-2;0
;4/5/12;;Gunnar;15;7;;-2;-1;2;1;0;1;-1;-1;-1;0
;4/5/12;;Gunnar;16;7;;0;0;0;-1;0;-1;-2;-2;-3;0
;4/5/12;;Gunnar;18;7;;2;1;-2;-1;1;-1;-1;-1;-2;0
;4/5/12;;Gunnar;13;8;;-2;0;-2;-3;-3;-3;-3;-3;-3;-2
;4/5/12;;Gunnar;14;8;;;-1;2;1;-2;-1;-2;-3;-3;-1
;4/5/12;;Gunnar;15;8;;-1;-1;-2;-1;-2;-1;-3;-1;-3;-2
;4/5/12;;Gunnar;16;8;;-2;0;2;1;-1;0;-2;-3;-3;-1
;4/5/12;;Gunnar;18;8;;-1;-1;-2;-2;-2;-2;-2;-1;-2;0
;4/5/12;;Gunnar;13;9;;0;1;1;-1;-1;0;-1;-2;-2;-1
;4/5/12;;Gunnar;14;9;;-1;0;1;-1;-2;;-1;-2;-2;-1
;4/5/12;;Gunnar;15;9;;-2;1;-1;-2;-2;-1;-1;-2;-3;-1
;4/5/12;;Gunnar;16;9;;0;0;0;0;0;0;-3;-3;-3;-3
;4/5/12;;Gunnar;19;9;;0;0;0;0;0;0;0;0;-1;0
;4/5/12;;Gunnar;13;12;;-1;0;-2;-1;0;;-1;-2;-2;0
;4/5/12;;Gunnar;14;12;;-1;0;-1;-1;-1;;-1;-1;-1;
;4/5/12;;Gunnar;15;12;;1;0;-1;-1;-2;;-2;-2;-2;-1
;4/5/12;;Gunnar;16;12;;;0;-1;-1;-2;;-1;-2;-2;
;4/5/12;;Gunnar;18;12;;0;0;-1;0;-1;;-1;-1;-1;
;4/5/12;;Gunnar;18;12;;-1;0;-1;-1;-2;;-2;-2;-2;0
;4/5/12;;Gunnar;13;13;;-1;0;-1;-2;-1;-2;-2;-3;-3;0
;4/5/12;;Gunnar;14;13;;-1;0;-1;-1;-1;-1;-1;-2;-2;0
